Gene Ontology	Bacteria	Paper ID
myeloid cell activation involved in immune response	Staphylococcus aureus	32764988
immune system process	Staphylococcus aureus	32764988
leukocyte activation involved in immune response	Staphylococcus aureus	32764988
immune response	Staphylococcus aureus	32764988
leukocyte activation	Staphylococcus aureus	32764988
neutrophil activation	influenza virus	32714913
granulocyte activation	influenza virus	32714913
neutrophil activation involved in immune response	influenza virus	32714913
myeloid leukocyte activation	influenza virus	32714913
immune effector process	influenza virus	32714913
cell activation involved in immune response	influenza virus	32714913
myeloid cell activation involved in immune response	influenza virus	32714913
immune system process	influenza virus	32714913
leukocyte activation involved in immune response	influenza virus	32714913
immune response	influenza virus	32714913
leukocyte activation	influenza virus	32714913
neutrophil activation	influenza virus	33343577
granulocyte activation	influenza virus	33343577
neutrophil activation involved in immune response	influenza virus	33343577
myeloid leukocyte activation	influenza virus	33343577
immune effector process	influenza virus	33343577
cell activation involved in immune response	influenza virus	33343577
myeloid cell activation involved in immune response	influenza virus	33343577
immune system process	influenza virus	33343577
leukocyte activation involved in immune response	influenza virus	33343577
immune response	influenza virus	33343577
leukocyte activation	influenza virus	33343577
leukocyte activation	Streptococcus pneumoniae	22306269
lymphocyte activation	Streptococcus pneumoniae	22306269
immune system process	Streptococcus pneumoniae	22306269
leukocyte activation	Streptococcus pneumoniae	20097830
lymphocyte activation	Streptococcus pneumoniae	20097830
immune system process	Streptococcus pneumoniae	20097830
leukocyte activation	Streptococcus pneumoniae	14702311
lymphocyte activation	Streptococcus pneumoniae	14702311
immune system process	Streptococcus pneumoniae	14702311
leukocyte activation	Streptococcus pneumoniae	27036359
lymphocyte activation	Streptococcus pneumoniae	27036359
immune system process	Streptococcus pneumoniae	27036359
leukocyte activation	Streptococcus pneumoniae	22957222
lymphocyte activation	Streptococcus pneumoniae	22957222
immune system process	Streptococcus pneumoniae	22957222
leukocyte activation	Streptococcus pneumoniae	30619110
lymphocyte activation	Streptococcus pneumoniae	30619110
immune system process	Streptococcus pneumoniae	30619110
leukocyte activation	Streptococcus pneumoniae	22940097
lymphocyte activation	Streptococcus pneumoniae	22940097
immune system process	Streptococcus pneumoniae	22940097
leukocyte activation	Streptococcus pneumoniae	23363038
